Fecha;NroInscripcion;Matricula;Tpcm;SnkComerciante;Agrupacion;Acto;Libro;Tipo Documento;SnkActo
23/01/2018;1;339058;1;18590;OTROS ACTOS;2 - LIQUIDACION SOCIEDADES CONYUGALES;1 - DE LAS CAPITULACIONES MATRIMONIALES Y LIQUIDACION DE SOCIEDADES CONYUGALES;ESCRITURA PÚBLICA;32
24/01/2018;2;297980;1;28398;OTROS ACTOS;2 - LIQUIDACION SOCIEDADES CONYUGALES;1 - DE LAS CAPITULACIONES MATRIMONIALES Y LIQUIDACION DE SOCIEDADES CONYUGALES;ESCRITURA PÚBLICA;32
24/01/2018;3;274416;1;18892;OTROS ACTOS;2 - LIQUIDACION SOCIEDADES CONYUGALES;1 - DE LAS CAPITULACIONES MATRIMONIALES Y LIQUIDACION DE SOCIEDADES CONYUGALES;ESCRITURA PÚBLICA;32
23/02/2018;4;445613;1;8213;OTROS ACTOS;2 - LIQUIDACION SOCIEDADES CONYUGALES;1 - DE LAS CAPITULACIONES MATRIMONIALES Y LIQUIDACION DE SOCIEDADES CONYUGALES;SENTENCIA;32
23/02/2018;5;540249;1;19792;OTROS ACTOS;2 - LIQUIDACION SOCIEDADES CONYUGALES;1 - DE LAS CAPITULACIONES MATRIMONIALES Y LIQUIDACION DE SOCIEDADES CONYUGALES;SENTENCIA;32
10/04/2018;6;487934;1;26412;OTROS ACTOS;2 - LIQUIDACION SOCIEDADES CONYUGALES;1 - DE LAS CAPITULACIONES MATRIMONIALES Y LIQUIDACION DE SOCIEDADES CONYUGALES;ESCRITURA PÚBLICA;32
10/04/2018;7;16616;1;28188;OTROS ACTOS;2 - LIQUIDACION SOCIEDADES CONYUGALES;1 - DE LAS CAPITULACIONES MATRIMONIALES Y LIQUIDACION DE SOCIEDADES CONYUGALES;ESCRITURA PÚBLICA;32
10/04/2018;8;348687;1;11563;OTROS ACTOS;2 - LIQUIDACION SOCIEDADES CONYUGALES;1 - DE LAS CAPITULACIONES MATRIMONIALES Y LIQUIDACION DE SOCIEDADES CONYUGALES;ESCRITURA PÚBLICA;32
23/04/2018;9;503950;1;13648;OTROS ACTOS;2 - LIQUIDACION SOCIEDADES CONYUGALES;1 - DE LAS CAPITULACIONES MATRIMONIALES Y LIQUIDACION DE SOCIEDADES CONYUGALES;ESCRITURA PÚBLICA;32
02/01/2018;1;13361;21;7341;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
02/01/2018;2;13361;21;7341;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
02/01/2018;3;16561;22;10986;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
02/01/2018;4;12397;28;2648;LIQUIDACION-P JURIDICA;6 - LIQUIDACION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;122
02/01/2018;5;12340;21;7740;OTROS ACTOS;5 - DISOLUCION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;104
02/01/2018;6;12340;21;7740;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
03/01/2018;7;15623;21;7625;LIQUIDACION-P JURIDICA;6 - LIQUIDACION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;122
03/01/2018;8;12298;22;11073;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
03/01/2018;9;12298;22;11073;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
03/01/2018;10;12141;28;2370;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
03/01/2018;11;12141;28;2370;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
04/01/2018;12;12958;22;11197;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
04/01/2018;13;12271;22;11134;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
04/01/2018;14;12271;22;11134;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
04/01/2018;15;18156;22;10821;MATRICULA COMERCIANTE;1 - CONSTITUCION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;2
04/01/2018;16;9560;22;10946;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
04/01/2018;17;9560;22;10946;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
04/01/2018;18;3329;21;7785;OTROS ACTOS;79 - MUTACIONES ESAL LIBRO 1;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;COMUNICACIÓN;629
04/01/2018;19;113;28;13446;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
05/01/2018;20;15457;21;7765;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
05/01/2018;21;15457;21;7765;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
05/01/2018;22;15457;21;7765;OTROS ACTOS;79 - MUTACIONES ESAL LIBRO 1;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;COMUNICACIÓN;629
05/01/2018;23;12654;22;10698;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
05/01/2018;24;8238;28;2873;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
05/01/2018;25;8238;28;2873;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
05/01/2018;26;8238;28;2873;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
05/01/2018;27;12479;21;7798;OTROS ACTOS;79 - MUTACIONES ESAL LIBRO 1;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;COMUNICACIÓN;629
09/01/2018;28;18157;28;301;MATRICULA COMERCIANTE;1 - CONSTITUCION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;2
09/01/2018;29;7186;22;11020;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
09/01/2018;30;15457;21;7765;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
09/01/2018;31;4096;28;3034;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
10/01/2018;32;750;28;2468;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
10/01/2018;33;13551;22;10909;OTROS ACTOS;"14 - DESIG. REMOCIO; REVOCA; ADMON";1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;236
10/01/2018;34;18158;21;6096;MATRICULA COMERCIANTE;1 - CONSTITUCION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;2
10/01/2018;35;17164;22;11050;OTROS ACTOS;5 - DISOLUCION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;104
10/01/2018;36;18159;21;7126;MATRICULA COMERCIANTE;1 - CONSTITUCION;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;2
10/01/2018;37;15004;28;3099;OTROS ACTOS;2 - REFORMAS;1 - DE LAS PERSONAS JURIDICAS SIN ANIMO DE LUCRO;ACTA;31
