Id;Departamento;Municipio;Sede
0;INDETERMINADO;INDETERMINADO;INDETERMINADO
1;ANTIOQUIA;ABRIAQUI;OCCIDENTE
2;ANTIOQUIA;AMAGA;SUROESTE
3;ANTIOQUIA;AMALFI;SIN SEDE
4;ANTIOQUIA;ANDES;SUROESTE
5;ANTIOQUIA;ANGELOPOLIS;SUROESTE
6;ANTIOQUIA;ANGOSTURA;NORTE
7;ANTIOQUIA;ANORI;SIN SEDE
8;ANTIOQUIA;ANZA;OCCIDENTE
9;ANTIOQUIA;APARTADO;SIN SEDE
10;ANTIOQUIA;ARMENIA;OCCIDENTE
11;ANTIOQUIA;BARBOSA;ABURRA NORTE
12;ANTIOQUIA;BELLO;ABURRA NORTE
13;ANTIOQUIA;BELMIRA;NORTE
14;ANTIOQUIA;BETANIA;SUROESTE
15;ANTIOQUIA;BETULIA;SUROESTE
16;ANTIOQUIA;BRICEÑO;NORTE
17;ANTIOQUIA;BURITICA;OCCIDENTE
18;ANTIOQUIA;CÁCERES;BAJO CAUCA
19;ANTIOQUIA;CAICEDO;SUROESTE
20;ANTIOQUIA;CALDAS;SIN SEDE
21;ANTIOQUIA;CAMPAMENTO;NORTE
22;ANTIOQUIA;CAÑASGORDAS;OCCIDENTE
23;ANTIOQUIA;CARAMANTA;SUROESTE
24;ANTIOQUIA;CAREPA;SIN SEDE
25;ANTIOQUIA;CARMEN DE VIBORAL;SIN SEDE
26;ANTIOQUIA;CAROLINA DEL PRINCIPE;NORTE
27;ANTIOQUIA;CAUCASIA;BAJO CAUCA
28;ANTIOQUIA;CHIGORODO;SIN SEDE
29;ANTIOQUIA;CIUDAD BOLIVAR;SUROESTE
30;ANTIOQUIA;COCORNA;SIN SEDE
31;ANTIOQUIA;CONCORDIA;SUROESTE
32;ANTIOQUIA;COPACABANA;ABURRA NORTE
33;ANTIOQUIA;DON MATIAS;NORTE
34;ANTIOQUIA;EBEJICO;OCCIDENTE
35;ANTIOQUIA;EL BAGRE;SIN SEDE
36;ANTIOQUIA;EL RETIRO;SIN SEDE
37;ANTIOQUIA;EL SANTUARIO;SIN SEDE
38;ANTIOQUIA;ENTRERRIOS;NORTE
39;ANTIOQUIA;ENVIGADO;SIN SEDE
40;ANTIOQUIA;FREDONIA;SUROESTE
41;ANTIOQUIA;FRONTINO;OCCIDENTE
42;ANTIOQUIA;GIRALDO;OCCIDENTE
43;ANTIOQUIA;GIRARDOTA;ABURRA NORTE
44;ANTIOQUIA;GÓMEZ PLATA;NORTE
45;ANTIOQUIA;GUADALUPE;NORTE
46;ANTIOQUIA;GUARNE;SIN SEDE
47;ANTIOQUIA;GUATAPE;SIN SEDE
48;ANTIOQUIA;HELICONIA;OCCIDENTE
49;ANTIOQUIA;HISPANIA;SUROESTE
50;ANTIOQUIA;ITAGUI;SIN SEDE
51;ANTIOQUIA;ITUANGO;NORTE
52;ANTIOQUIA;JARDIN;SUROESTE
53;ANTIOQUIA;JERICÓ;SUROESTE
54;ANTIOQUIA;LA CEJA;SIN SEDE
55;ANTIOQUIA;LA ESTRELLA;SIN SEDE
56;ANTIOQUIA;LA PINTADA;SUROESTE
57;ANTIOQUIA;LIBORINA;OCCIDENTE
58;ANTIOQUIA;MARINILLA;SIN SEDE
59;ANTIOQUIA;MEDELLÍN;MEDELLÍN
60;ANTIOQUIA;MONTEBELLO;SUROESTE
61;ANTIOQUIA;OLAYA;OCCIDENTE
62;ANTIOQUIA;PEQUE;OCCIDENTE
63;ANTIOQUIA;PUEBLO RICO;SUROESTE
64;ANTIOQUIA;PUERTO BERRIO;SIN SEDE
65;ANTIOQUIA;RIONEGRO;SIN SEDE
66;ANTIOQUIA;SABANALARGA;OCCIDENTE
67;ANTIOQUIA;SABANETA;SIN SEDE
68;ANTIOQUIA;SALGAR;SUROESTE
69;ANTIOQUIA;SAN ANDRES;NORTE
70;ANTIOQUIA;SAN CARLOS;SIN SEDE
71;ANTIOQUIA;SAN JERÓNIMO;OCCIDENTE
72;ANTIOQUIA;SAN JOSE DE LA MONTAÑA;NORTE
73;ANTIOQUIA;SAN LUIS;SIN SEDE
74;ANTIOQUIA;SAN PEDRO DE LOS MILAGROS;NORTE
75;ANTIOQUIA;SAN RAFAEL;SIN SEDE
76;ANTIOQUIA;SAN ROQUE;SIN SEDE
77;ANTIOQUIA;SANTA BARBARA;SUROESTE
78;ANTIOQUIA;SANTA ROSA DE OSOS;NORTE
79;ANTIOQUIA;SANTAFE DE ANTIOQUIA;OCCIDENTE
80;ANTIOQUIA;SANTO DOMINGO;ABURRA NORTE
81;ANTIOQUIA;SONSON;SIN SEDE
82;ANTIOQUIA;SOPETRAN;OCCIDENTE
83;ANTIOQUIA;TAMESIS;SUROESTE
84;ANTIOQUIA;TARAZA;BAJO CAUCA
85;ANTIOQUIA;TARSO;SUROESTE
86;ANTIOQUIA;TITIRIBI;SUROESTE
87;ANTIOQUIA;TOLEDO;NORTE
88;ANTIOQUIA;TURBO;SIN SEDE
89;ANTIOQUIA;URAMITA;OCCIDENTE
90;ANTIOQUIA;URRAO;SUROESTE
91;ANTIOQUIA;VALDIVIA;NORTE
92;ANTIOQUIA;VALPARAISO;SUROESTE
93;ANTIOQUIA;VENECIA;SUROESTE
94;ANTIOQUIA;VIGIA DEL FUERTE;OCCIDENTE
95;ANTIOQUIA;YARUMAL;NORTE
96;ATLANTICO;BARRANQUILLA;SIN SEDE
97;BOLIVAR;CARTAGENA;SIN SEDE
98;BOLIVAR;MAGANGUE;SIN SEDE
99;BOYACA;DUITAMA;SIN SEDE
100;BOYACA;TUNJA;SIN SEDE
101;CALDAS;LA DORADA;SIN SEDE
102;CALDAS;LISBOA;SIN SEDE
103;CALDAS;MANIZALES;SIN SEDE
104;CALDAS;PACORA;SIN SEDE
105;CESAR;VALLEDUPAR;SIN SEDE
106;CHOCO;QUIBDO;SIN SEDE
107;CORDOBA;MONTELIBANO;SIN SEDE
108;CORDOBA;MONTERIA;SIN SEDE
109;CUNDINAMARCA;CHIA;SIN SEDE
110;CUNDINAMARCA;FACATATIVA;SIN SEDE
111;DISTRITO ESPECIAL;BOGOTA D.C.;SIN SEDE
112;GUAJIRA;RIOHACHA;SIN SEDE
113;HUILA;NEIVA;SIN SEDE
114;MAGDALENA;STA MARTA;SIN SEDE
115;NORTE DE SANTANDER;CUCUTA;SIN SEDE
116;NORTE DE SANTANDER;PAMPLONA;SIN SEDE
117;QUINDIO;ARMENIA;SIN SEDE
118;RISARALDA;PEREIRA;SIN SEDE
119;SAN ANDRES (ISLAS);SAN ANDRES (ISLAS);SIN SEDE
120;SANTANDER DEL SUR;BUCARAMANGA;SIN SEDE
121;SUCRE;SINCELEJO;SIN SEDE
122;TOLIMA;IBAGUE;SIN SEDE
